"","x"
"117","Thanks for your question on Healthcare Magic.I can understand your concern. Repeated spiking temperatures (fever) in pneumonia patient is suggestive of nonresolving pneumonia.So better to consult pulmonologist and get done sputum culture and sensitivity report. Culture report will isolate the causative organism (if it is MRSA or other bacteria) and sensitivity report will guide about effective antibiotic treatment.He may need higher antibiotics on the basis of sensitivity report. By this, we can achieve speedy recovery. Hope I have solved your query. I will be happy to help you further. Wishing good health to your friend. Thanks."
"118","Thanks for your question on Healthcare Magic.I can understand your concern. Possibility of post infectious bronchitis is more likely. Bronchitis (inflammation of airways) is common after pneumonia.And persistent dry cough and chest pain are mostly due to bronchitis.So better to consult pulmonologist and get done clinical examination of respiratory system and PFT (Pulmonary Function Test).PFT will not only diagnose bronchitis but it will also tell you about severity of the disease and treatment is based on severity only. You will mostly improve with inhaled bronchodilators (formoterol or salmeterol) and inhaled corticosteroid (ICS) (budesonide or fluticasone).Don't worry, you will be alright with all these. Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks."
"119","Hello dearWarm  welcome to Healthcaremagic.comI have evaluated your query in details  .*  According to the narration it was seemingly the correct decision of     surgery  on part of the surgeon as well  as  patient , because  the      medicines  were  not  going to cure it at  all .Wishing you fine recovery .Feel free to ask any further  queries .Regards  ."
"120","Thanks for your question on Healthcare Magic.I can understand your concern. Possibility of pneumonia is very less because you are not having chest pain, mucus expectoration and your fever is also gone.So drink plenty of fluids orally and keep yourself hydrated. Avoid oily and spicy food. Avoid junk food. Avoid hard to chew food. Take levocetrizine and paracetamol combination twice daily. Do warm water gargles and steam inhalation 4-5 times a day. Don't worry, you will be alright with all these. Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks."
"121","Hello dear Jean , hiWarm  welcome to Healthcaremagic.comI have evaluated your query in details  .* The urine color is in relation with side effect of penicillin , not a part of pneumonia .*  Has to be   addressed  immediately  to  your  treating  doctor for  this    issue .Wishing you fine recovery .Welcome for any further  guidance .Regards  ."
"122","Thanks for your concern. The dry cough basically has a few causes....First is Post nasal drip, second  Gastroesophageal reflux'heart burn', third Cough variant aasthma, forth Heart failure and finally Interstitial lung disease. Based on the information if you don't have a heart burn or reflux of food or sour brash into your mouth, you are having a cough variant asthma, make sure you do not have difficulty breathing. There is something called cardiac asthma, but it's not much of a likelihood given your young age.I advice you that you give up on smoking as it causes a multitude of problems and may well be related to the cough you've been having now called as 'smokers cough'.It's time that you stop smoking, avoid animal dancers, mites, pollens and any thing that would exacerbate the illness, make sure you don't have a heart burn, and if still the cough persists , meet a pulmo neologism and get a Pulmonary function test with methacholine challenge"
"123","Hello Thank you for trusting HCM Dear what is the culture report suggestive?? Staphylococcus aureus pneumonia take more time to come under control, usually community acquired Staphylococcus infection may present with methicillne resistance(MRSA) , for this patient cases need to treated with vancomycine, and linezolid. Some patients also developed vancomycine resistant staph aureus (VRSA) infection, this infection very problematic to control. very few drugs like Quinupristin-dalfopristin and linezolid available to control VRSA. Please follow your doctor orders they will treat you in right way. I think I answered to your question if you have more questions please feel free to ask."
"124","Thanks for your question on Healthcare Magic.I can understand your concern. Pneumonia with pregnancy is always critical.Antibiotics as early as possible is the treatment of choice for pneumonia. So better to immediately consult doctor and start antibiotics for pneumonia. Drink plenty of fluids orally and keep yourself hydrated. With prompt and appropriate treatment, pneumonia can be cured easily. Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks."
"125","Hello dear , hiWelcome to Healthcaremagic.comI have evaluated your query thoroughly .*  The shoulder pain is in relation with the referred pain from the Phrenic  nerve irritation via pneumonia patch .Hope this clears your query .Wishing you fine recovery .Regards ."
"126","Thanks for your question on Healthcare Magic.I can understand your concern. You should do following things to prevent recurrent pneumonia and improve your lung health. 1. Drink plenty of fluids orally and keep yourself hydrated.2. Do steam inhalation and warm water gargles 5-6 times a day.3. Take pneumococcal and influenza vaccine. Influenza vaccine should be taken annually while pneumococcal every five yearly.4. Avoid smoke, dust, fumes, chemicals etc and wear mask.5. Avoid unnecessary hospital visits.Don't worry, you will be alright with all these. Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks."
